ID,Title,State,AssignedTo,StackRank,Tags,Parent,Description,AcceptanceCriteria,URL
4551,"Story 10.1: Design System Implementation",New,"ara4hc (SX EIT-MM-TM-FE)",1,"Design; Foundation; M1; Theme; UX",,"As a developer, I want a styleguide showcasing design tokens and components, so that I can ensure consistency and provide a reference for the application. Create a styleguide page showcasing all design tokens, components, and patterns used in the application for consistency and developer reference. Where: New route: /styleguide. What to show: Color palette (Primary, Secondary, Accent, Neutral with hex codes); Typography scale (H1-H6, Body, Caption, Code with font sizes and weights); Spacing tokens (Base unit, scale 4/8/12/16/24/32/48/64px); Component library (Button, Card, Badge, Input etc. with variants); Icon set with names and usage; Border radius and shadow examples; Animation examples (hover, transitions). Component: app/styleguide/page.tsx","Styleguide page accessible at /styleguide route; Shows all colors with hex codes and usage guidelines; Typography scale displayed with actual font sizes; Component showcase with live interactive examples; Icon library with searchable names; Spacing, radius, shadow tokens displayed visually","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4551"
4404,"Story 01.0: Research i3 styleguide",New,"ara4hc (SX EIT-MM-TM-FE)",2,"Design; Foundation; M1; Research; UX",4403,"Research i3 styleguide from https://ideation.innovate-bosch.com/. Document and present to team: Color / Typography / Layout / Basic UI elements / Key takeaways","Document and present to team findings; From i3 website (https://ideation.innovate-bosch.com/); Cover Color / Typography / Layout / Basic UI elements; Provide Key takeaways","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4404"
4583,"Story 01.3: Update Application Branding to Innovation StarterKit",New,"ara4hc (SX EIT-MM-TM-FE)",3,"Branding; FullStack; M1; Rename; Update",4617,"As a product owner, I want to update all branding references, so that I can establish consistent identity for the Innovation StarterKit. Update all branding references from 'Innovation StarterKit' to the new application name throughout the codebase for consistent identity. Where: Throughout the application. What to update: App name in browser tab title and metadata; Header branding/logo text; Welcome messages and onboarding content; PDF export footer text ('Assisted by [AppName]'); README and documentation references; Package.json name and description; Any hardcoded 'Innovation StarterKit' strings in UI. Component: Global find/replace across codebase, update app/layout.tsx metadata, README.md","Browser tab title shows updated application name; Header branding displays new name consistently; Welcome modal and onboarding use new application name; PDF export footer reflects updated branding; README.md and package.json updated with new name/description; No legacy 'Innovation StarterKit' references remain in user-facing UI","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4583"
4548,"Story 09.1: Professional Pitch Deck Design",New,"ara4hc (SX EIT-MM-TM-FE)",4,"Critical; Design; Pitch; Prototype; UX",4621,"As an innovator, I want a beautifully designed pitch deck with professional slides, so that I can effectively pitch my idea to stakeholders","Modern slide templates with professional layouts; Consistent typography and color scheme; Visual hierarchy with proper spacing; Icon and diagram support; Slide transition animations; Mobile-responsive slide viewer; Dark/light mode support","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4548"
4550,"Story 09.2: Enhanced PDF Export Formatting",New,"ara4hc (SX EIT-MM-TM-FE)",5,"Critical; Dev; Export; M1; PDF; Prototype",4621,"As an innovator, I want PDF export with formatting options for cover page and table of contents, so that I can create investor-ready pitch decks. Add professional formatting options for PDF export, including cover page, table of contents, and branding for investor-ready pitch decks. Where: Pitch page export button opens formatting options dialog. What to show: Export button with gear icon for options; Dialog with formatting checkboxes (Cover page, Table of Contents, Slide Notes, Compliance Footer); Preview thumbnail showing selected format; 'Assisted by Innovation-StarterKit' footer option. Component: Enhance lib/export-pdf.tsx","Export button on Pitch page opens formatting dialog; Dialog shows 4 checkbox options for formatting elements; Preview thumbnail updates based on selections; PDF exports with selected formatting applied; Footer includes 'Assisted by Innovation-StarterKit' when enabled","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4550"
4554,"Story 10.4: Responsive Design Optimization",New,,6,"Critical; FullStack; M1; Mobile; Responsive",4621,"As a mobile user, I want the application optimized for my device, so that I can access and use all features on the go. Optimize the application for mobile devices with responsive navigation, touch-friendly targets, and adaptive layouts. Where: All pages on mobile (<768px). What to optimize: Hamburger menu for navigation (replaces desktop sidebar); Bottom navigation bar for quick phase switching; All tap targets minimum 44x44px; Adaptive typography (smaller base font on mobile); Stack cards vertically (no side-by-side on mobile); Responsive charts (simplified view on mobile); Chat panel becomes full screen on mobile. Component: Update components/wizard/phase-layout.tsx, components/ui/navigation.tsx","Mobile shows hamburger menu in header; Bottom nav bar with 5 phase icons for quick switching; All buttons and tappable areas are minimum 44x44px; Cards stack vertically (no horizontal scrolling); Charts switch to simplified mobile view; Chat panel expands to full width on mobile; No horizontal scroll on any page","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4554"
4546,"Story 01.2: Enhanced Step Navigator",New,,7,"FullStack; M1; Navigation; UX",4617,"As an innovator, I want visual step indicators showing my progress, so that I can navigate the innovation journey easily. Add visual step indicators showing user's progress through the 5-phase innovation journey, with tooltips showing phase details and ability to jump to previous steps. Where: Top of each phase page (Challenge, Market, Ideation, Investment, Pitch). What to show: 5 horizontal steps with icons (Challenge -> Market -> Ideation -> Investment -> Pitch); Current step highlighted, completed steps with checkmarks, future steps grayed out; Hover tooltip showing step name and brief description; Skip-to dropdown for returning users to jump between completed phases; Progress percentage indicator. Component: Enhance existing components/wizard/progress-tracker.tsx","5-step navigator appears at top of all phase pages; Completed steps show green checkmark icon; Current step highlighted with accent color; Hover shows tooltip with phase name and description; Dropdown allows jumping to any completed phase; Progress bar shows overall completion percentage","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4546"
4547,"Story 01.3: Campaign Context Integration",New,"ara4hc (SX EIT-MM-TM-FE)",8,"Campaign; Context; Dev; UX",4617,"As an innovator responding to a campaign, I want campaign details pre-loaded in my idea, so that I don't have to re-enter information","Campaign name and description auto-populated; Campaign deadline displayed in form; Campaign tags/categories pre-selected; Editable fields (user can modify auto-filled content)","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4547"
4549,"Story 01.1: Real-time Idea Validation",New,"bet3hc (BGSV PJ-NE)",9,"FullStack; M1; UX; Validation",4617,"As an innovator, I want real-time validation feedback on my form inputs, so that I can correct errors immediately and understand completion status. Add visual feedback to form inputs showing character limits, validation status, and completion progress for better user experience during idea submission. Where: Challenge page form fields (problem description, target audience, current solutions). What to show: Character counter below each textarea (e.g., '50/2000'); Green checkmark icon when field is valid and complete; Red border and error message when validation fails; Progress indicator showing form completion %; Real-time validation as user types (not just on blur/submit). Component: Enhance components/ui/input.tsx and components/ui/textarea.tsx","Character counter appears below textareas (e.g., '150/2000 chars'); Green checkmark shows when field meets minimum requirements; Red outline and error message for invalid input; Overall form progress bar shows completion percentage; Validation happens in real-time as user types","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4549"
4558,"Story 03.1: Image Upload for Ideas",New,"ara4hc (SX EIT-MM-TM-FE)",10,"FullStack; Images; M1; Media; Upload",4617,"As an innovator, I want to attach images to my ideas, so that I can visually document my concepts and inspirations. Add drag-and-drop image upload to ideation page, allowing users to attach visuals to their ideas. Where: Ideation page, below idea description in IdeaDetailView. What to show: Drop zone with dashed border and upload icon; Drag overlay appears when dragging files over zone; Image preview carousel after upload (horizontal scroll); Remove button (X) on each image; File size error if >5MB; Format error if not JPG/PNG/WebP; Max 5 images limit message. Component: Create components/media/image-upload.tsx","Drop zone appears in idea detail view; Drag and drop or click to upload images; Preview carousel shows uploaded images horizontally; X button on each image to remove; Validation: Max 5 images, 5MB each, JPG/PNG/WebP only; Error messages for invalid files; No backend storage - local preview only for M1","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4558"
4556,"Story 02.1: AI Idea Scoring",New,"ara4hc (SX EIT-MM-TM-FE)",11,"AI; Demo; FullStack; M1; Scoring",4618,"As an innovator, I want AI-generated scores with visual indicators for my idea, so that I can understand its strengths and areas for improvement. Display AI-generated idea scores with visual indicators, color-coding, and improvement suggestions for each dimension. Where: IdeaDetailView right panel (below idea details). What to show: 4 score cards (Novelty, Feasibility, Impact, Clarity) 1-10 scale; Color-coded indicators (Green 8-10, Yellow 5-7, Red 1-4); Progress bar or circular indicator for each score; Improvement suggestions for low-scoring areas; Comparison to previous ideas (if available); Overall score with emoji or badge. Component: Create components/ideation/scoring-cards.tsx, integrate into idea-detail-view.tsx","4 scoring cards appear in idea detail view; Each card shows dimension name, score (1-10), and color-coded indicator; Green for 8-10, Yellow for 5-7, Red for 1-4; Low scores show improvement suggestions below; Overall score badge at top with emoji; Comparison to other ideas shows relative ranking","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4556"
4557,"Story 02.2: AI Co-Innovator Persona",New,"ara4hc (SX EIT-MM-TM-FE)",12,"AI; Chatbot; FullStack; M1; Persona",4618,"As an innovator, I want an AI assistant persona with contextual help, so that I can be guided through the innovation process with proactive suggestions. Add an AI assistant persona with avatar, contextual help tips, and proactive suggestions to guide users through the innovation process. Where: Chat panel header, tooltips throughout forms. What to add: AI avatar in chat header with friendly name ('InnovateBot'); Contextual help tooltips on form fields (lightbulb icon); Proactive suggestions ('Have you considered X?') as chips above input; Toggle in settings to enable/disable AI assistance; Greeting message explaining AI's role. Component: Enhance components/chat/phase-chat.tsx, add components/chat/ai-avatar.tsx","Chat header shows AI avatar with name 'Innovation Consultant'; Help tooltip (lightbulb) appears next to form field labels; Suggestion chips show proactive tips above input; Settings toggle: 'AI Assistance: On/Off'; Opening greeting explains AI capabilities; Avatar animates when AI is 'thinking'","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4557"
4579,"Story 11.1: Bosch Innovation Database - Similar Ideas Detection",New,"htr1hc (BGSV PJ-NE)",13,"Bosch; Database; Deduplication; M1; Mock; Prototype; Similarity; UX",4619,"As an innovator, I want to see similar existing innovations from Bosch database, so that I can identify duplicates before development and avoid redundant work. Show similar existing innovations from Bosch database when user submits an idea, helping identify duplicates before development. Where: In AI chat message after idea scoring, and as collapsible card in IdeaDetailView right panel. What to show: 2-3 similar innovations with similarity % badge; Each item: ID (INV-2024-012), title, 1-line summary, stage badge; Color-coded (Red >80%, Yellow 60-80%, Green <60%); Warning icon for high similarity; Click to expand full details. Mock examples: 'AI-Powered Predictive Maintenance' (89%), 'IoT Sensor Network' (67%), 'Digital Twin' (45%). Component: Create components/innovation/similar-ideas-card.tsx","Similar ideas appear in chat after scoring; Dedicated card in IdeaDetailView shows similar ideas; Each idea shows: ID, title, summary, stage, similarity %; Color-coded badges with warning for >80%; Expandable card or modal for full details; Uses static mock data (no API)","https://dev.azure.com/BDC-RBVH-ETM/ec5c8f03-c193-4a90-92a2-7c8eb2ce3eb9/_workitems/edit/4579"
