ID,Title,Description,AcceptanceCriteria,Tags
4546,"Story 01.2: Enhanced Step Navigator","<p>Add visual step indicators showing user's progress through the 5-phase innovation journey, with tooltips showing phase details and ability to jump to previous steps.</p><p><strong>Where it appears:</strong> Top of each phase page (Challenge, Market, Ideation, Investment, Pitch)</p><p><strong>What to show:</strong></p><ul><li>5 horizontal steps with icons: Challenge → Market → Ideation → Investment → Pitch</li><li>Current step highlighted, completed steps with checkmarks, future steps grayed out</li><li>Hover tooltip showing step name and brief description</li><li>Skip-to dropdown for returning users to jump between completed phases</li><li>Progress percentage indicator</li></ul><p><strong>Component:</strong> Enhance existing <code>components/wizard/progress-tracker.tsx</code></p>","<ul><li>5-step navigator appears at top of all phase pages</li><li>Completed steps show green checkmark icon</li><li>Current step highlighted with accent color</li><li>Hover shows tooltip with phase name and description</li><li>Dropdown allows jumping to any completed phase</li><li>Progress bar shows overall completion percentage</li></ul>","FullStack; M1; Navigation; UX"
4549,"Story 01.1: Real-time Idea Validation","<p>Add visual feedback to form inputs showing character limits, validation status, and completion progress for better user experience during idea submission.</p><p><strong>Where it appears:</strong> Challenge page form fields (problem description, target audience, current solutions)</p><p><strong>What to show:</strong></p><ul><li>Character counter below each textarea (e.g., ""50/200"")</li><li>Green checkmark icon when field is valid and complete</li><li>Red border and error message when validation fails</li><li>Progress indicator showing form completion %</li><li>Real-time validation as user types (not just on blur/submit)</li></ul><p><strong>Component:</strong> Enhance <code>components/ui/input.tsx</code> and <code>components/ui/textarea.tsx</code></p>","<ul><li>Character counter appears below textareas (e.g., ""50/200 chars"")</li><li>Green checkmark shows when field meets minimum requirements</li><li>Red outline and error message for invalid input</li><li>Overall form progress bar shows completion percentage</li><li>Validation happens in real-time as user types</li></ul>","FullStack; M1; UX; Validation"
4550,"Story 09.2: Enhanced PDF Export Formatting","<p>Add professional formatting options for PDF export, including cover page, table of contents, and branding for investor-ready pitch decks.</p><p><strong>Where it appears:</strong> Pitch page export button → Opens formatting options dialog</p><p><strong>What to show:</strong></p><ul><li>Export button with gear icon for options</li><li>Dialog with formatting checkboxes: Cover page, Table of Contents, Slide Notes, Compliance Footer</li><li>Preview thumbnail showing selected format</li><li>""Assisted by Innovation-StarterKit"" footer option</li></ul><p><strong>Component:</strong> Enhance <code>lib/export-pdf.tsx</code></p>","<ul><li>Export button on Pitch page opens formatting dialog</li><li>Dialog shows 4 checkbox options for formatting elements</li><li>Preview thumbnail updates based on selections</li><li>PDF exports with selected formatting applied</li><li>Footer includes ""Assisted by Innovation-StarterKit"" when enabled</li></ul>","Critical; Dev; Export; M1; PDF; Prototype"
4551,"Story 10.1: Design System Implementation","<p>Create a styleguide page showcasing all design tokens, components, and patterns used in the application for consistency and developer reference.</p><p><strong>Where it appears:</strong> New route: <code>/styleguide</code></p><p><strong>What to show:</strong></p><ul><li>Color palette: Primary, Secondary, Accent, Neutral (with hex codes)</li><li>Typography scale: H1-H6, Body, Caption, Code (with font sizes and weights)</li><li>Spacing tokens: Base unit, scale (4, 8, 12, 16, 24, 32, 48, 64px)</li><li>Component library: Button, Card, Badge, Input, etc. with variants</li><li>Icon set with names and usage</li><li>Border radius and shadow examples</li><li>Animation examples (hover, transitions)</li></ul><p><strong>Component:</strong> <code>app/styleguide/page.tsx</code></p>","<ul><li>Styleguide page accessible at /styleguide route</li><li>Shows all colors with hex codes and usage guidelines</li><li>Typography scale displayed with actual font sizes</li><li>Component showcase with live interactive examples</li><li>Icon library with searchable names</li><li>Spacing, radius, shadow tokens displayed visually</li></ul>","Design; Foundation; M1; Theme; UX"
4552,"Story 10.2: Micro-Interactions and Animations","<p>Add subtle animations and micro-interactions throughout the UI for better feedback and polished feel.</p><p><strong>Where it appears:</strong> Throughout the app (buttons, cards, forms, page transitions)</p><p><strong>What to add:</strong></p><ul><li>Button hover/active states with scale/color transitions</li><li>Loading skeleton for async content (shimmer effect)</li><li>Success/error toast animations (slide in + fade)</li><li>Smooth page transitions between wizard steps</li><li>Card hover effect (slight elevation + shadow increase)</li><li>Form field focus ring animation</li><li>Progress bar fill animation</li></ul><p><strong>Component:</strong> Update <code>components/ui/button.tsx</code>, add <code>components/ui/loading-skeleton.tsx</code></p>","<ul><li>Buttons have smooth hover (scale 1.02) and active (scale 0.98) transitions</li><li>Loading skeleton shows shimmer animation during data fetch</li><li>Toast messages slide in from right with fade effect</li><li>Page transitions have smooth fade between phases</li><li>Cards elevate slightly (shadow increase) on hover</li><li>Form inputs show animated focus ring</li><li>Progress bars animate from 0 to actual value</li></ul>","Animation; FullStack; M1; UX"
4553,"Story 10.3: Loading States and Empty States","<p>Create reusable loading and empty state components for consistent feedback when content is loading or unavailable.</p><p><strong>Where it appears:</strong> Throughout app (idea list, dashboard, any async content area)</p><p><strong>What to show:</strong></p><ul><li>Loading: Spinner icon or skeleton screens</li><li>Empty: Illustration, helpful message, call-to-action button</li><li>Error: Error icon, message explaining issue, retry button</li></ul><p><strong>Mock examples:</strong></p><ul><li>Loading ideas: 3 skeleton cards with shimmer</li><li>No ideas: Lightbulb icon + ""No ideas yet. Click Generate Ideas to start.""</li><li>Error: Alert triangle + ""Failed to load. Please try again."" + Retry button</li></ul><p><strong>Component:</strong> Create <code>components/ui/loading-skeleton.tsx</code>, <code>components/ui/empty-state.tsx</code></p>","<ul><li>Loading skeleton shows 3 placeholder cards with shimmer animation</li><li>Empty state shows icon + message + CTA button</li><li>Error state shows icon + message + retry button</li><li>Components accept props for custom message and action</li><li>Used consistently across all list views and data displays</li></ul>","Feedback; FullStack; Loading; M1; UX"
4554,"Story 10.4: Responsive Design Optimization","<p>Optimize the application for mobile devices with responsive navigation, touch-friendly targets, and adaptive layouts.</p><p><strong>Where it appears:</strong> All pages on mobile (<768px)</p><p><strong>What to optimize:</strong></p><ul><li>Hamburger menu for navigation (replaces desktop sidebar)</li><li>Bottom navigation bar for quick phase switching</li><li>All tap targets minimum 44x44px</li><li>Adaptive typography (smaller base font on mobile)</li><li>Stack cards vertically (no side-by-side on mobile)</li><li>Responsive charts (simplified view on mobile)</li><li>Chat panel becomes full screen on mobile</li></ul><p><strong>Component:</strong> Update <code>components/wizard/phase-layout.tsx</code>, <code>components/ui/navigation.tsx</code></p>","<ul><li>Mobile shows hamburger menu in header</li><li>Bottom nav bar with 5 phase icons for quick switching</li><li>All buttons and tappable areas are minimum 44x44px</li><li>Cards stack vertically (no horizontal scrolling)</li><li>Charts switch to simplified mobile view</li><li>Chat panel expands to full width on mobile</li><li>No horizontal scroll on any page</li></ul>","Critical; FullStack; M1; Mobile; Responsive"
4555,"Story 10.8: Error Handling and Validation UX","<p>Add inline error validation to forms with specific guidance, confirmation dialogs for destructive actions, and toast notifications.</p><p><strong>Where it appears:</strong> All form pages (Challenge, Market, etc.)</p><p><strong>What to add:</strong></p><ul><li>Inline error messages below each field</li><li>Specific guidance (not just ""Required"" → ""Please describe your challenge (min 50 chars)"")</li><li>Warning state for risky actions (yellow border + icon)</li><li>Confirmation dialog before destructive actions (delete, clear, reset)</li><li>Toast notifications for success/error feedback</li></ul><p><strong>Component:</strong> Enhance <code>components/ui/form.tsx</code>, <code>components/ui/toast.tsx</code></p>","<ul><li>Inline error messages appear below invalid fields</li><li>Error messages are specific and actionable</li><li>Warning state shows yellow border with icon for risky actions</li><li>Confirmation dialog appears before delete/clear operations</li><li>Toast notifications show success/error messages</li><li>Form-level error summary at top when submitting with errors</li></ul>","Errors; FullStack; M1; UX; Validation"
4556,"Story 02.1: AI Idea Scoring","<p>Display AI-generated idea scores with visual indicators, color-coding, and improvement suggestions for each dimension.</p><p><strong>Where it appears:</strong> IdeaDetailView right panel (below idea details)</p><p><strong>What to show:</strong></p><ul><li>4 score cards: Novelty, Feasibility, Impact, Clarity (1-10 scale)</li><li>Color-coded indicators: Green (8-10), Yellow (5-7), Red (1-4)</li><li>Progress bar or circular indicator for each score</li><li>Improvement suggestions for low-scoring areas</li><li>Comparison to previous ideas (if available)</li><li>Overall score with emoji or badge</li></ul><p><strong>Component:</strong> Create <code>components/ideation/scoring-cards.tsx</code>, integrate into <code>idea-detail-view.tsx</code></p>","<ul><li>4 scoring cards appear in idea detail view</li><li>Each card shows dimension name, score (1-10), and color-coded indicator</li><li>Green for 8-10, Yellow for 5-7, Red for 1-4</li><li>Low scores show improvement suggestions below</li><li>Overall score badge at top with emoji</li><li>Comparison to other ideas shows relative ranking</li></ul>","AI; Demo; FullStack; M1; Scoring"
4557,"Story 02.2: AI Co-Innovator Persona","<p>Add an AI assistant persona with avatar, contextual help tips, and proactive suggestions to guide users through the innovation process.</p><p><strong>Where it appears:</strong> Chat panel header, tooltips throughout forms</p><p><strong>What to add:</strong></p><ul><li>AI avatar in chat header with friendly name (""InnovateBot"")</li><li>Contextual help tooltips on form fields (lightbulb icon)</li><li>Proactive suggestions (""Have you considered X?"") as chips above input</li><li>Toggle in settings to enable/disable AI assistance</li><li>Greeting message explaining AI's role</li></ul><p><strong>Component:</strong> Enhance <code>components/chat/phase-chat.tsx</code>, add <code>components/chat/ai-avatar.tsx</code></p>","<ul><li>Chat header shows AI avatar with name ""Innovation Consultant""</li><li>Help tooltip (lightbulb) appears next to form field labels</li><li>Suggestion chips show proactive tips above input</li><li>Settings toggle: ""AI Assistance: On/Off""</li><li>Opening greeting explains AI capabilities</li><li>Avatar animates when AI is ""thinking""</li></ul>","AI; Chatbot; FullStack; M1; Persona"
